t,x,y,theta,v,omega,phi,dot_xd,ddot_xd ,dddot_xd,dot_yd,ddot_yd,dddot_yd
0.0,0.0,0.0,4.718676847857061e-06,0.0,-0.0,0.6430736270543611,-6.381266892104412e-13,0.04715780316110591,-0.0033357633970116105,1.3491460243506143e-08,-1.873629121781065e-06,0.00012111592784808784
0.028302401579325162,1.887470751201173e-05,8.906364534766453e-11,4.745919458206082e-06,4.002331446787343e-06,-0.0277648759641389,0.6425315330899491,0.0009333401456788513,0.047110598103488006,-0.003335763397012098,1.0327667351189152e-08,-1.5969330797648806e-07,0.00012111592784808784
0.056604803158650324,7.544841345027121e-05,1.4231158473876349e-09,4.828016982577653e-06,8.00342706859969e-06,-0.05547051737181873,0.6409125370660048,0.0021448119127947334,0.047039790517061,-0.0033357652824568696,7.41266361480555e-08,2.411210412730375e-06,0.000132944123813924
0.08490720473797549,0.00016964549279269183,7.194898232754099e-09,4.966193862378146e-06,1.2014861764046455e-05,-0.08310085078488338,0.6382362377420656,0.0034378527377680788,0.046957181399416584,-0.0033357709036222548,2.590877540802108e-07,7.084429847808621e-06,0.00015216881199527077
0.11320960631730065,0.0003013903200839434,2.2709031322065698e-08,5.162588496621079e-06,1.6057654500834405e-05,-0.11061539921607431,0.6345336201450814,0.004753493835428413,0.04686867096083278,-0.0033357829713039568,6.386851378886558e-07,1.4022882780973247e-05,0.00017884152069332996
0.14151200789662582,0.00047060726893952153,5.536780123271967e-08,5.420294837307805e-06,2.016663063184507e-05,-0.1379383482774889,0.6298467702391527,0.006074044539573221,0.04677720886997341,-0.003335804716149091,1.2852849194693533e-06,2.3419989223929225e-05,0.0002119262521255253
0.16981440947595097,0.0006772207113561118,1.1465697635770766e-07,5.743422536551525e-06,2.4394382732511147e-05,-0.1649489947551481,0.6242285087106579,0.00739419760017831,0.04668426941276919,-0.0033358398894003777,2.2723225796030727e-06,3.533125148995778e-05,0.00025078079182263614
0.19811681105527612,0.0009211550168310308,2.1213165246614096e-07,6.137175379370796e-06,2.8814724261425524e-05,-0.19147396013320583,0.6177419450318207,0.008712360767978213,0.04659058906439595,-0.003335892681318655,3.6727351722888854e-06,4.9784277497838384e-05,0.0002947495321960652
0.2264192126346013,0.0012023345512935082,3.6140212600344057e-07,6.607947737514621e-06,3.352553301263333e-05,-0.21728154194979982,0.6104599529594972,0.01002805626519249,0.04649653527944196,-0.003335967669891513,5.559086948443774e-06,6.67817445759807e-05,0.0003432634063308428
0.2547216142139265,0.0015206836758505583,5.781197940368799e-07,7.163438781114103e-06,3.8650883967382004e-05,-0.24207856632331576,0.6024645686196989,0.011341140622199321,0.046402290888035345,-0.003336069768740711,8.003448262626036e-06,8.631683366747391e-05,0.00039580475987306484
0.28302401579325165,0.0018761267453501786,8.799630848432827e-07,7.81278418638566e-06,4.434237376537247e-05,-0.2655100955424374,0.5938463123221123,0.012651570624051284,0.04630794629579447,-0.003336204182108661,1.1077402660854406e-05,0.0001083772000373178,0.00045190935868355206
0.31132641737257677,0.0022685881067645965,1.2866234133657173e-06,8.566705079038077e-06,5.077954160089991e-05,-0.2871623352652935,0.584703435242642,0.013959333090013274,0.04621354558542318,-0.00333637636364199,1.4852038242984455e-05,0.00013294797028261455,0.0005111590780123622
0.33962881895190195,0.002697992097396265,1.8197911673123457e-06,9.437673954459684e-06,5.816929390782912e-05,-0.30656907662180216,0.5751410921057774,0.015264423803073272,0.046119109569226574,-0.003336591979790523,1.9397948830348957e-05,0.00016001296222825285,0.0005731778533234439
0.3679312205312271,0.003164263042909302,2.5031417176801796e-06,1.0440097317183553e-05,6.674424272925222e-05,-0.3232219993584762,0.5652704409923713,0.016566841184511617,0.04602464731702291,-0.0033368568768689572,2.4785234130211675e-05,0.00018955537437104385,0.0006376273135533586
0.39623362211055224,0.003667325255189056,3.362321458144635e-06,1.1590514783546813e-05,7.675987017305726e-05,-0.3365851531059977,0.5552076713922116,0.01786658439205338,0.045930161921744636,-0.0033371770510927192,3.1083500723627716e-05,0.00022155810785799658,0.000704203039991076
0.4245360236898774,0.00420710303003244,4.424933871316483e-06,1.2907814392875996e-05,8.849043383363123e-05,-0.34611392488632786,0.5450729616145924,0.019163652745161786,0.045835653383937525,-0.003337558622350895,3.836186292887024e-05,0.000256003931469917,0.0007726311835958534
0.4528384252692026,0.004783520644671707,5.720525620533934e-06,1.4413463873942671e-05,0.0001022235305126582,-0.3512787921074833,0.5349893666639017,0.020458045548539087,0.04574112005559852,-0.0033380078099105835,4.668894374185764e-05,0.00029287556588963295,0.0008426653766020639
0.48114082684852777,0.005396502355134278,7.280572668966201e-06,1.6131757614843713e-05,0.0001182532379985929,-0.35159415151993867,0.5250816376810925,0.02174976203515464,0.04564655936378337,-0.0033385309114863757,5.613287574676357e-05,0.0003321557213886397,0.0009140840270332354
0.509443228427853,0.006045972393441262,9.138466423364022e-06,1.8090079085867088e-05,0.0001368717570650161,-0.346652505928392,0.5154749740457462,0.023038801345195377,0.04555196817396608,-0.0033391342832854156,6.67613020491191e-05,0.00037382712270471485,0.000986687784256653
0.5377456300071781,0.006731854964647236,1.1329499905565754e-05,2.0319178466308283e-05,0.0001583594782228512,-0.3361642818658979,0.5062937092273038,0.0243251625158578,0.04545734297343158,-0.003339824323440891,7.86413771757818e-05,0.0004178725134334462,0.0010602973645125868
0.5660480315865033,0.007454074243723931,1.3890853946652015e-05,2.2853465227603416e-05,0.00018297340011046615,-0.32000354294365796,0.4976599314679192,0.025608844474456337,0.045362679964489463,-0.003340607456223799,9.183976794477141e-05,0.00046427466525197827,0.0011347515082173077
0.5943504331658284,0.008212554372290352,1.6861583407745684e-05,2.573131542654311e-05,0.00021093382872913708,-0.29825985518855547,0.48969204037326675,0.02688984603258929,0.04526797511272218,-0.0033414901181557633,0.00010642265436434479,0.0005130163774350921,0.0012099051955236939
0.6226528347451535,0.00900721945519191,2.0282603424570667e-05,2.8995393463726948e-05,0.000242409289029343,-0.271296552371403,0.48250324048155124,0.028168165880686116,0.04517322417270305,-0.003342478745671725,0.00012245573049029037,0.0005640804791573708,0.0012856280040787942
0.6509552363244787,0.009837993556931114,2.4196675676435575e-05,3.2692988063809934e-05,0.00027749958262601726,-0.23981564111131543,0.47619997287486826,0.02944380258273183,0.045078422702430315,-0.003343579764109888,0.00014000420526987336,0.0006174498280590249,0.0013618026691059727
0.6792576379038039,0.010704800697952366,2.864839467831004e-05,3.6876362235482716e-05,0.00031621692766834565,-0.2049295774151841,0.47088028589099895,0.03071675457110671,0.04498356607209811,-0.0033447995773920798,0.00015913280338615728,0.0006731073123352302,0.001438323735977115
0.7075600394831291,0.011607564850783373,3.368417409710389e-05,4.160311697051324e-05,0.0003584651191120871,-0.16824013827542653,0.46663214598765557,0.0319870201415233,0.04488864947010701,-0.0033461445599315054,0.000179905766069249,0.0007310358472990791,0.0015150964096493484
0.7358624410624542,0.012546209936035686,3.935223308926261e-05,4.6936568442561494e-05,0.00040401664983985,-0.1319246040035575,0.46353168980515214,0.033254597448053654,0.04479366790751013,-0.0033476210476085554,0.00020238685189420368,0.0007912183779723055,0.0015920354573368547
0.7641648426417794,0.01352065981826682,4.570258266189953e-05,5.294188734263338e-05,0.00045258246815170077,-0.09843543683242062,0.46161601177527783,0.0345194844982456,0.044698616221937146,-0.0033492353315929062,0.0002266393375723534,0.0008536378759414747,0.0016690642767946103
0.7924672442211045,0.014530838301706522,5.2787012054800186e-05,5.9669908501846446e-05,0.0005041849703091741,-0.06893748362779714,0.4607821290866837,0.03578167914832769,0.04460348908096973,-0.00335099365167113,0.0002527260187214297,0.0009182773412544718,0.0017461140077268047
0.8207696458004297,0.015576669125849587,6.065907514485325e-05,6.716717909637648e-05,0.0005589818977192511,-0.04402776955199902,0.46084262842308726,0.037041179098499855,0.044508280985412506,-0.0033529021904494696,0.0002807092106264435,0.000985119799754861,0.0018231227706019357
0.8490720473797548,0.01665807596091766,6.937407687046537e-05,7.548048524703778e-05,0.000617177923923193,-0.02408927664119134,0.4615481833111418,0.03829798188831192,0.0444129862724688,-0.0033549670688119873,0.0003106507489626679,0.0010541483035901294,0.00190003495381298
0.87737444895908,0.017774982403192537,7.898905967640424e-05,8.46567129904841e-05,0.0006790332640923183,-0.009239863558810417,0.46258206019760034,0.03955208489212765,0.04431759911878866,-0.0033571943409493334,0.0003426119905023373,0.0011253459293766618,0.0019768006035556195
0.9056768505384052,0.018927311970223328,8.956278997795941e-05,9.474270605499893e-05,0.0007448729199532016,0.0007228168288833464,0.4635544913875588,0.04080348531467474,0.044222113543564305,-0.003359589990820189,0.00037665381382180976,0.0011986957796412867,0.00205337484138347
0.9339792521177304,0.020114988095909926,0.00010115574464575339,0.00010578776207983463,0.0008150250689031239,0.0062824626771127426,0.4641144769056983,0.04205218018668024,0.04412652341152,-0.00336215992828049,0.00041283662000888405,0.0012741809811838214,0.002129717336143036
0.9622816536970555,0.02133793412546518,0.00011383009750853823,0.00011785081467499556,0.0008896169369802411,0.007973168077352094,0.4642701367955081,0.04329816636059072,0.044030822435957115,-0.003364909986670419,0.000451220333265887,0.001351784681353223,0.0022057919068895447
0.9905840552763807,0.02259607331025815,0.00012764970587242352,0.0001309946407238008,0.0009687083054309753,0.006614515085040417,0.4641316100745142,0.04454144050637625,0.04393500418166075,-0.00336784591888594,0.0004918644015855508,0.0014314900543431273,0.002281566027098633
1.018886456855706,0.02388932880254082,0.0001426800970614206,0.0001452841005930045,0.0010523338161707043,0.003425000065557247,0.4638334445239203,0.045781999107419244,0.04383906206799041,-0.003370973396348374,0.0005348277973839004,0.0015132802929100709,0.002357010513093926
1.047188858435031,0.025217623650060677,0.00015898845497130942,0.0001607861604410347,0.001140499700205458,7.633039798455663e-05,0.4635363025730362,0.04701983845648669,0.04374298937171332,-0.003374298006122759,0.0005801690180448344,0.0015971386118558031,0.002432099178457992
1.0754912600143562,0.02658088079056143,0.00017664360664149115,0.00017756886129484758,0.0012332129975684567,-0.0017921880910416884,0.4633817548879189,0.0482549546517839,0.04364677922998253,-0.0033778252487193833,0.0006279460865575501,0.0016830482481687615,0.002506808496270293
1.1037936615936814,0.027979023046174254,0.00019571600884371598,0.00019569840327559863,0.001330575480132417,-0.002134427473371936,0.4633631187280094,0.049487343593093404,0.04355042464332787,-0.003381560537778366,0.0006782165520434918,0.0017709924557121714,0.0025811173908311244
1.1320960631730066,0.029411973117701936,0.00021627773468368972,0.00021524153351751418,0.0014327183997557944,-0.001413216559797303,0.46343254062276934,0.05071700097799435,0.04345391847841912,-0.0033855091976548097,0.0007310374903052087,0.0018609545107296805,0.0026550069174151206
1.1603984647523315,0.030879653578798075,0.00023840246021999967,0.00023626626373327288,0.0015397816164867937,-0.0002535803701085477,0.4635336780706525,0.05194392229816216,0.04335725347102642,-0.003389676461390938,0.0007864655043328634,0.0019529177039672274,0.0027284601215487366
1.1887008663316567,0.03238198687004385,0.00026216545109392086,0.0002588419229874997,0.0016519119673133222,0.0005843437114187851,0.46360476783118426,0.053168102835754454,0.04326042222904081,-0.003394067472809995,0.000844556724790331,0.00204686534697567,0.002801461778471648
1.217003267910982,0.033918895292924515,0.00028764354917587553,0.00028304020941836684,0.0017692264394418278,0.0008177720906904592,0.46362615287821757,0.054389537659872936,0.04316341723498924,-0.003398687281695919,0.0009053668105256155,0.0021427807665574602,0.002873998240962902
1.245305669490307,0.03549030100370785,0.0003149151592227728,0.0003089350389956296,0.001891813298787256,0.0006224605064378951,0.4636142741579266,0.055608221623106566,0.043066230849230266,-0.003403540845494574,0.0009689509489744206,0.002240647304932971,0.0029460572893574145
1.2736080710696323,0.037096126007227025,0.0003440602355473388,0.00033660179723800625,0.002019755630970201,0.00024111961142547802,0.46358909306181945,0.056824149358159166,0.04296885531264762,-0.003408633029337582,0.0010353638566117582,0.0023404483209231953,0.00301762796039528
1.3019104726489574,0.038736292150570006,0.00037516026870032526,0.0003661172819972696,0.002153132564369833,-3.695508900388964e-05,0.4635722691711348,0.05803731527454978,0.042871282749294956,-0.003413968602228005,0.0011046597793601383,0.002442167186522946,0.0030887004392456223
1.3302128742282826,0.040410721116677616,0.00040829827216226633,0.0003975593192746648,0.0022920331041110936,-0.0001058019218495876,0.4635707713670725,0.05924771355539721,0.04277350516957017,-0.003419552240696863,0.001176892492954656,0.0025457872876872,0.0031592659376590785
1.3585152758076078,0.04211933441785284,0.00044355876904611513,0.0004310067888945429,0.002436555775586012,-3.6903885387536096e-05,0.4635787500920564,0.06045533815428325,0.04267551447263596,-0.003425388525014994,0.0012521153033250314,0.002651292023732971,0.0032293165781573626
1.386817677386933,0.04386205338918323,0.0004810277788098727,0.000466539869769534,0.0025867993868548948,7.42816537530703e-05,0.46358919399490994,0.06166018279219244,0.042577302449489464,-0.003431481942051922,0.0013303810469262232,0.0027586648051789995,0.0032988453096853016
1.4151200789662581,0.04563879918187892,0.0005207928039772103,0.0005042400591037873,0.002742861690594734,0.00013054888023270131,0.4635955134847176,0.0628622409545307,0.04247886078543799,-0.0034378368828072567,0.0014117420910356037,0.0028678890536179367,0.0033678458288296216
1.4434224805455833,0.04744949275652809,0.0005629428168667516,0.0005441902896801817,0.002904833855952499,0.00012488385262841818,0.4635974856696058,0.06406150588821938,0.04238018106301734,-0.003444457642101634,0.0014962503340697972,0.0029789482021988127,0.003436312477006746
1.4717248821249085,0.04929405487627244,0.0006075682463297927,0.0005864748244337372,0.003072803640075235,8.767483355816738e-05,0.46359729805555344,0.06525797059887276,0.04228125476485377,-0.003451348421427464,0.0015839572058396062,0.003091825691899159,0.0035042402079126468
1.5000272837042337,0.051172406099904755,0.0006547609644935726,0.0006311791906697543,0.0032468572802841255,5.52094597836331e-05,0.46359735563633064,0.06645162784804777,0.04218207327604923,-0.00345851332636907,0.001674913667797256,0.003206504974179833,0.003571624485381431
1.5283296852835588,0.053084466774890496,0.0007046142735123162,0.0006783901296007863,0.003427080947363833,4.551666820738492e-05,0.4635987646523194,0.0676424701505673,0.04208262788705362,-0.0034659563659440178,0.0017691702132561515,0.003322969506522829,0.0036384612700661057
1.556632086862884,0.05503015703031579,0.0007572228923224955,0.0007281955710386592,0.00361356124355555,5.0074958210675975e-05,0.4636009396156288,0.06883048977192775,0.04198290979656718,-0.003473681456646492,0.001866776867593371,0.003441202755534256,0.003704746924545874
